Party	handicapped_infants	water_project_cost_sharing	adoption_of_the_budget_resolution	physician_fee_freeze	el_salvador_aid	religious_groups_in_schools	nti_satellite_test_ban	aid_to_nicaraguan_contras	mx_missile	immigration	synfuels_corporation_cutback	education_spending	superfund_right_to_sue	crime	duty_free_exports	export_administration_act_sa
republican	n	y	n	y	y	y	n	n	n	y	w	y	y	y	n	y
republican	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	w
democrat	w	y	y	w	y	y	n	n	n	n	y	n	y	y	n	n
democrat	n	y	y	n	w	y	n	n	n	n	y	n	y	n	n	y
democrat	y	y	y	n	y	y	n	n	n	n	y	w	y	y	y	y
democrat	n	y	y	n	y	y	n	n	n	n	n	n	y	y	y	y
democrat	n	y	n	y	y	y	n	n	n	n	n	n	w	y	y	y
republican	n	y	n	y	y	y	n	n	n	n	n	n	y	y	w	y
republican	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	y
democrat	y	y	y	n	n	n	y	y	y	n	n	n	n	n	w	w
republican	n	y	n	y	y	n	n	n	n	n	w	w	y	y	n	n
republican	n	y	n	y	y	y	n	n	n	n	y	w	y	y	w	w
democrat	n	y	y	n	n	n	y	y	y	n	n	n	y	n	w	w
democrat	y	y	y	n	n	y	y	y	w	y	y	w	n	n	y	w
republican	n	y	n	y	y	y	n	n	n	n	n	y	w	w	n	w
republican	n	y	n	y	y	y	n	n	n	y	n	y	y	w	n	w
democrat	y	n	y	n	n	y	n	y	w	y	y	y	w	n	n	y
democrat	y	w	y	n	n	n	y	y	y	n	n	n	y	n	y	y
republican	n	y	n	y	y	y	n	n	n	n	n	w	y	y	n	n
democrat	y	y	y	n	n	n	y	y	y	n	y	n	n	n	y	y
democrat	y	y	y	n	n	w	y	y	n	n	y	n	n	n	y	y
democrat	y	y	y	n	n	n	y	y	y	n	n	n	w	w	y	y
democrat	y	w	y	n	n	n	y	y	y	n	n	w	n	n	y	y
democrat	y	y	y	n	n	n	y	y	y	n	n	n	n	n	y	y
democrat	y	n	y	n	n	n	y	y	y	n	n	n	n	n	y	w
democrat	y	n	y	n	n	n	y	y	y	y	n	n	n	n	y	y
democrat	y	n	y	n	n	n	y	y	y	n	y	n	n	n	y	y
democrat	y	y	y	n	n	n	y	y	y	n	y	n	n	n	y	y
republican	y	n	n	y	y	n	y	y	y	n	n	y	y	y	n	y
